seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,task_sequence
0,FS,20,475.0,891.6666666666669,296.6666666666667,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
0,NNF,20,196.0,426.66666666666663,278.88888888888886,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,AStarOnly,20,196.0,426.66666666666663,278.88888888888886,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,Proposed,20,296.0,593.3333333333333,107.22222222222223,P3->P4->P9->P17->P7->P14->P6->P15->P19->P1->P20->P13->P2->P10->P12->P11->P8->P5->P18->P16
1,FS,20,453.0,855.0,352.5,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
1,NNF,20,152.0,353.33333333333337,130.0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,AStarOnly,20,152.0,353.33333333333337,130.0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,Proposed,20,294.0,590.0,151.25,P1->P6->P17->P4->P7->P11->P14->P9->P12->P10->P5->P13->P16->P2->P15->P8->P18->P19->P20->P3
2,FS,20,434.0,823.3333333333333,454.3333333333333,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
2,NNF,20,148.0,346.6666666666667,142.83333333333331,P16->P20->P13->P5->P7->P3->P1->P2->P12->P10->P15->P8->P14->P18->P17->P4->P9->P6->P19->P11
2,AStarOnly,20,148.0,346.6666666666667,142.83333333333331,P16->P20->P13->P5->P7->P3->P1->P2->P12->P10->P15->P8->P14->P18->P17->P4->P9->P6->P19->P11
2,Proposed,20,284.0,573.3333333333335,196.16666666666669,P5->P20->P7->P3->P1->P15->P11->P2->P10->P14->P4->P17->P6->P18->P9->P13->P19->P8->P12->P16
3,FS,19,327.0,640.0,317.22222222222223,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P12->P13->P14->P15->P16->P17->P18->P19->P20
3,NNF,19,142.0,331.66666666666674,147.50000000000003,P10->P4->P12->P3->P9->P16->P14->P1->P8->P15->P19->P18->P17->P13->P5->P20->P2->P7->P6
3,AStarOnly,19,130.0,311.6666666666667,179.44444444444446,P10->P6->P7->P1->P14->P16->P8->P9->P3->P12->P19->P18->P17->P13->P4->P15->P2->P20->P5
3,Proposed,19,217.0,456.66666666666663,143.88888888888889,P9->P16->P14->P8->P1->P15->P2->P12->P19->P18->P5->P20->P3->P7->P6->P10->P17->P13->P4
4,FS,20,454.0,856.6666666666669,131.66666666666669,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
4,NNF,20,176.0,393.3333333333333,250.00000000000003,P10->P20->P9->P2->P13->P15->P18->P11->P17->P19->P16->P6->P5->P3->P8->P4->P1->P7->P12->P14
4,AStarOnly,20,180.0,400.00000000000006,216.6666666666667,P20->P10->P9->P2->P13->P15->P18->P19->P16->P6->P5->P3->P8->P12->P7->P1->P4->P11->P17->P14
4,Proposed,20,273.0,555.0,261.6666666666667,P20->P11->P9->P17->P1->P12->P7->P5->P3->P6->P16->P8->P14->P19->P18->P15->P13->P10->P2->P4
5,FS,20,451.0,851.6666666666666,326.94444444444446,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
5,NNF,20,188.0,413.3333333333334,219.72222222222226,P16->P13->P8->P1->P4->P7->P11->P17->P20->P19->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2
5,AStarOnly,20,207.0,445.0000000000001,194.72222222222226,P16->P13->P8->P1->P4->P7->P11->P17->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2->P19->P20
5,Proposed,20,295.0,591.6666666666666,150.55555555555557,P14->P6->P10->P9->P5->P19->P18->P1->P8->P7->P4->P17->P11->P16->P15->P2->P12->P3->P20->P13
