seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_task_ids,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,lambda_before_abnormal,lambda_after_abnormal,lambda_change,algorithm_runtime_ms,lambda_mean,lambda_min,lambda_max,lambda_std,task_sequence
0,AStarOnly,20,196.0,426.66666666666663,278.88888888888886,208.53083125537935,0.0,"P9,P14,P15,P8",50.0,107.50000000000001,0,0.0,0.0,0.0,37.646794982720166,0.0,0.0,0.0,0.0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,Greedy-PADS,20,248.0,513.3333333333334,92.77777777777779,226.57915918668098,60.0,"P11,P15,P16,P10",25.0,202.5,1,0.0,0.0,0.0,35.827650979626924,0.0,0.0,0.0,0.0,P3->P6->P9->P17->P4->P15->P19->P16->P20->P13->P2->P7->P14->P11->P8->P5->P18->P12->P10->P1
0,RH-PADS,20,241.0,501.6666666666667,137.7777777777778,221.6671372432411,40.0,"P9,P13,P14,P8",50.0,70.0,1,0.0,0.0,0.0,728.2207529642619,0.0,0.0,0.0,0.0,P15->P4->P17->P9->P20->P13->P7->P14->P8->P11->P6->P3->P12->P1->P19->P16->P2->P10->P5->P18
0,RH-PADS-L,20,261.0,535.0,136.11111111111111,260.77186791896423,40.0,"P10,P14,P15,P8",50.0,85.83333333333331,1,0.0,0.0,0.0,345.8788259886205,0.0,0.0,0.0,0.0,P4->P9->P17->P10->P15->P1->P7->P14->P8->P11->P6->P5->P20->P13->P2->P19->P16->P3->P12->P18
0,A-RH-PADS,20,245.0,508.33333333333337,137.7777777777778,222.25984226708272,40.0,"P9,P13,P14,P8",50.0,70.0,1,0.6054342372038419,0.7902752630674345,0.18484102586359252,77.87380198715255,0.6202796847435659,0.48661539036110296,0.7902752630674345,0.10601067156738377,P15->P4->P17->P9->P20->P13->P7->P14->P8->P11->P6->P3->P12->P10->P1->P19->P16->P2->P5->P18
0,A-RH-PADS-L,20,235.0,491.6666666666666,115.55555555555559,240.5924836304402,40.0,"P10,P14,P16,P8",50.0,133.33333333333331,1,0.6054342372038419,0.7664960563206789,0.16106181911683692,64.95188100961968,0.6588082556184779,0.5149368659321194,0.7719967633036352,0.10541549241082722,P15->P4->P9->P17->P7->P14->P8->P6->P10->P20->P2->P13->P16->P19->P1->P3->P12->P18->P11->P5
0,Priority-Greedy,20,327.0,645.0000000000001,145.55555555555557,277.5266591228086,40.0,"P11,P15,P16,P10",25.0,257.9166666666667,1,0.0,0.0,0.0,33.33350399043411,0.0,0.0,0.0,0.0,P4->P9->P7->P15->P17->P20->P13->P6->P11->P5->P12->P3->P1->P10->P16->P19->P2->P14->P8->P18
1,AStarOnly,20,152.0,353.33333333333337,130.0,171.28220643360677,40.0,"P11,P17,P13,P14",25.0,157.08333333333331,0,0.0,0.0,0.0,36.00373398512602,0.0,0.0,0.0,0.0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,Greedy-PADS,20,319.0,631.6666666666667,178.33333333333331,273.9998054630345,40.0,"P12,P16,P14,P15",50.0,184.58333333333331,1,0.0,0.0,0.0,36.35862597730011,0.0,0.0,0.0,0.0,P1->P6->P20->P17->P12->P14->P9->P4->P7->P11->P16->P13->P15->P5->P2->P3->P10->P19->P18->P8
1,RH-PADS,20,243.0,505.0,150.83333333333334,206.8027584576442,60.0,"P12,P17,P14,P15",50.0,130.83333333333331,1,0.0,0.0,0.0,714.1954609542154,0.0,0.0,0.0,0.0,P16->P1->P6->P17->P4->P12->P7->P11->P5->P9->P14->P18->P19->P15->P2->P13->P3->P20->P10->P8
